candidate_id,pair_id,pair_type,filter_early,filter_late,inventory_baseline_days,n_covering_early,n_covering_late,n_astrometric_early,n_astrometric_late,pm_status,stage,reason,attempt_rank
2919926,F115W_epoch_000__F115W_epoch_001,SAME_FILTER_JWST,F115W,F115W,351.61746847222093,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,1
2919926,F444W_epoch_000__F356W_epoch_000,CROSS_FILTER_JWST,F444W,F356W,351.59348405092896,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,2
2919926,F444W_epoch_000__F200W_epoch_000,CROSS_FILTER_JWST,F444W,F200W,351.56278925926017,2,5,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,3
2919926,F277W_epoch_000__F356W_epoch_000,CROSS_FILTER_JWST,F277W,F356W,351.61746847222093,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,4
2919926,F444W_epoch_000__F115W_epoch_001,CROSS_FILTER_JWST,F444W,F115W,351.59348405092896,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,5
2919926,F150W_epoch_000__F356W_epoch_000,CROSS_FILTER_JWST,F150W,F356W,351.5934847916651,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,6
2919926,F277W_epoch_000__F200W_epoch_000,CROSS_FILTER_JWST,F277W,F200W,351.58677368055214,2,5,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,7
2919926,F115W_epoch_000__F356W_epoch_000,CROSS_FILTER_JWST,F115W,F356W,351.61746847222093,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,8
2919926,F277W_epoch_000__F115W_epoch_001,CROSS_FILTER_JWST,F277W,F115W,351.61746847222093,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,9
2919926,F150W_epoch_000__F200W_epoch_000,CROSS_FILTER_JWST,F150W,F200W,351.5627899999963,2,5,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,10
2919926,F115W_epoch_000__F200W_epoch_000,CROSS_FILTER_JWST,F115W,F200W,351.58677368055214,2,5,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,11
2919926,F150W_epoch_000__F115W_epoch_001,CROSS_FILTER_JWST,F150W,F115W,351.5934847916651,2,3,0,0,INSUFFICIENT_DATA,CENTROID_FAIL,target is not securely centroidable in both independent epochs,12
